omp_num_threads,graph,order,size,time,iterations,error,technique
"16","indochina-2004","7414866","194109311","3880.768","60","0","pagerankUniform"
"16","indochina-2004","7414866","194109311","4357.674","60","1.3432e-9","pagerankHybrid"
"28","indochina-2004","7414866","194109311","3536.204","60","0","pagerankUniform"
"28","indochina-2004","7414866","194109311","4013.19","60","2.6348e-8","pagerankHybrid"
"32","indochina-2004","7414866","194109311","3355.167","60","0","pagerankUniform"
"32","indochina-2004","7414866","194109311","3837.147","60","1.1788e-8","pagerankHybrid"
"48","indochina-2004","7414866","194109311","3935.948","60","0","pagerankUniform"
"48","indochina-2004","7414866","194109311","4329.989","60","1.9407e-9","pagerankHybrid"
"2","italy_osm","6686493","14027956","2761.815","62","0","pagerankUniform"
"2","italy_osm","6686493","14027956","2991.679","62","0","pagerankHybrid"
"4","italy_osm","6686493","14027956","1455.947","62","0","pagerankUniform"
"4","italy_osm","6686493","14027956","1798.928","62","0","pagerankHybrid"
"8","italy_osm","6686493","14027956","778.126","62","0","pagerankUniform"
"8","italy_osm","6686493","14027956","1187.523","62","0","pagerankHybrid"
"16","italy_osm","6686493","14027956","494.243","62","0","pagerankUniform"
"16","italy_osm","6686493","14027956","917.712","62","0","pagerankHybrid"
"28","italy_osm","6686493","14027956","508.093","62","0","pagerankUniform"
"28","italy_osm","6686493","14027956","910.618","62","0","pagerankHybrid"
"32","italy_osm","6686493","14027956","470.575","62","0","pagerankUniform"
"32","italy_osm","6686493","14027956","904.933","62","0","pagerankHybrid"
"48","italy_osm","6686493","14027956","531.134","62","0","pagerankUniform"
"48","italy_osm","6686493","14027956","820.799","62","0","pagerankHybrid"
"2","great-britain_osm","7733822","16313034","4098.992","66","0","pagerankUniform"
"2","great-britain_osm","7733822","16313034","4281.734","66","0","pagerankHybrid"
"4","great-britain_osm","7733822","16313034","2130.661","66","0","pagerankUniform"
"4","great-britain_osm","7733822","16313034","2549.137","66","0","pagerankHybrid"
"8","great-britain_osm","7733822","16313034","1152.539","66","0","pagerankUniform"
"8","great-britain_osm","7733822","16313034","1640.428","66","0","pagerankHybrid"
"16","great-britain_osm","7733822","16313034","695.233","66","0","pagerankUniform"
"16","great-britain_osm","7733822","16313034","1211.317","66","0","pagerankHybrid"
"28","great-britain_osm","7733822","16313034","685.265","66","0","pagerankUniform"
"28","great-britain_osm","7733822","16313034","1149.964","66","0","pagerankHybrid"
